loc,length,bug type,approach
739,4,Overflow-Underflow,code snippet injection
730,8,Overflow-Underflow,code snippet injection
633,8,Overflow-Underflow,code snippet injection
622,10,Overflow-Underflow,code snippet injection
502,4,Overflow-Underflow,code snippet injection
493,8,Overflow-Underflow,code snippet injection
948,10,Overflow-Underflow,code snippet injection
940,4,Overflow-Underflow,code snippet injection
926,10,Overflow-Underflow,code snippet injection
918,4,Overflow-Underflow,code snippet injection
904,10,Overflow-Underflow,code snippet injection
893,4,Overflow-Underflow,code snippet injection
879,4,Overflow-Underflow,code snippet injection
864,8,Overflow-Underflow,code snippet injection
814,4,Overflow-Underflow,code snippet injection
802,4,Overflow-Underflow,code snippet injection
790,4,Overflow-Underflow,code snippet injection
762,4,Overflow-Underflow,code snippet injection
751,4,Overflow-Underflow,code snippet injection
715,8,Overflow-Underflow,code snippet injection
700,10,Overflow-Underflow,code snippet injection
691,4,Overflow-Underflow,code snippet injection
677,10,Overflow-Underflow,code snippet injection
665,8,Overflow-Underflow,code snippet injection
648,8,Overflow-Underflow,code snippet injection
603,8,Overflow-Underflow,code snippet injection
591,4,Overflow-Underflow,code snippet injection
568,4,Overflow-Underflow,code snippet injection
559,4,Overflow-Underflow,code snippet injection
546,8,Overflow-Underflow,code snippet injection
534,8,Overflow-Underflow,code snippet injection
526,4,Overflow-Underflow,code snippet injection
513,4,Overflow-Underflow,code snippet injection
433,10,Overflow-Underflow,code snippet injection
421,4,Overflow-Underflow,code snippet injection
402,10,Overflow-Underflow,code snippet injection
374,10,Overflow-Underflow,code snippet injection
356,4,Overflow-Underflow,code snippet injection
338,4,Overflow-Underflow,code snippet injection
313,10,Overflow-Underflow,code snippet injection
