loc,length,bug type,approach
431,4,Overflow-Underflow,code snippet injection
422,8,Overflow-Underflow,code snippet injection
413,8,Overflow-Underflow,code snippet injection
402,10,Overflow-Underflow,code snippet injection
612,4,Overflow-Underflow,code snippet injection
598,8,Overflow-Underflow,code snippet injection
574,10,Overflow-Underflow,code snippet injection
564,4,Overflow-Underflow,code snippet injection
535,10,Overflow-Underflow,code snippet injection
512,4,Overflow-Underflow,code snippet injection
494,10,Overflow-Underflow,code snippet injection
472,4,Overflow-Underflow,code snippet injection
455,4,Overflow-Underflow,code snippet injection
291,8,Overflow-Underflow,code snippet injection
396,4,Overflow-Underflow,code snippet injection
391,4,Overflow-Underflow,code snippet injection
386,4,Overflow-Underflow,code snippet injection
381,4,Overflow-Underflow,code snippet injection
376,4,Overflow-Underflow,code snippet injection
367,8,Overflow-Underflow,code snippet injection
356,10,Overflow-Underflow,code snippet injection
351,4,Overflow-Underflow,code snippet injection
340,10,Overflow-Underflow,code snippet injection
331,8,Overflow-Underflow,code snippet injection
322,8,Overflow-Underflow,code snippet injection
312,8,Overflow-Underflow,code snippet injection
307,4,Overflow-Underflow,code snippet injection
