loc,length,bug type,approach
448,4,Overflow-Underflow,code snippet injection
439,8,Overflow-Underflow,code snippet injection
430,8,Overflow-Underflow,code snippet injection
237,10,Overflow-Underflow,code snippet injection
232,4,Overflow-Underflow,code snippet injection
223,8,Overflow-Underflow,code snippet injection
212,10,Overflow-Underflow,code snippet injection
207,4,Overflow-Underflow,code snippet injection
506,10,Overflow-Underflow,code snippet injection
495,4,Overflow-Underflow,code snippet injection
416,10,Overflow-Underflow,code snippet injection
402,4,Overflow-Underflow,code snippet injection
386,4,Overflow-Underflow,code snippet injection
370,8,Overflow-Underflow,code snippet injection
357,4,Overflow-Underflow,code snippet injection
341,4,Overflow-Underflow,code snippet injection
321,4,Overflow-Underflow,code snippet injection
303,4,Overflow-Underflow,code snippet injection
201,4,Overflow-Underflow,code snippet injection
184,8,Overflow-Underflow,code snippet injection
165,10,Overflow-Underflow,code snippet injection
136,4,Overflow-Underflow,code snippet injection
117,10,Overflow-Underflow,code snippet injection
70,8,Overflow-Underflow,code snippet injection
56,8,Overflow-Underflow,code snippet injection
47,8,Overflow-Underflow,code snippet injection
42,4,Overflow-Underflow,code snippet injection
37,4,Overflow-Underflow,code snippet injection
32,4,Overflow-Underflow,code snippet injection
479,8,Overflow-Underflow,code snippet injection
470,8,Overflow-Underflow,code snippet injection
465,4,Overflow-Underflow,code snippet injection
460,4,Overflow-Underflow,code snippet injection
284,10,Overflow-Underflow,code snippet injection
279,4,Overflow-Underflow,code snippet injection
268,10,Overflow-Underflow,code snippet injection
257,10,Overflow-Underflow,code snippet injection
103,4,Overflow-Underflow,code snippet injection
98,4,Overflow-Underflow,code snippet injection
87,10,Overflow-Underflow,code snippet injection
