loc,length,bug type,approach
939,18,TOD,code snippet injection
920,18,TOD,code snippet injection
362,18,TOD,code snippet injection
347,13,TOD,code snippet injection
333,13,TOD,code snippet injection
314,18,TOD,code snippet injection
299,13,TOD,code snippet injection
285,13,TOD,code snippet injection
133,13,TOD,code snippet injection
119,13,TOD,code snippet injection
105,13,TOD,code snippet injection
91,13,TOD,code snippet injection
72,18,TOD,code snippet injection
1133,18,TOD,code snippet injection
1098,18,TOD,code snippet injection
1066,13,TOD,code snippet injection
1043,18,TOD,code snippet injection
1025,13,TOD,code snippet injection
1008,13,TOD,code snippet injection
986,18,TOD,code snippet injection
964,13,TOD,code snippet injection
856,18,TOD,code snippet injection
837,13,TOD,code snippet injection
812,18,TOD,code snippet injection
784,18,TOD,code snippet injection
755,18,TOD,code snippet injection
723,18,TOD,code snippet injection
700,13,TOD,code snippet injection
668,18,TOD,code snippet injection
636,18,TOD,code snippet injection
611,18,TOD,code snippet injection
588,13,TOD,code snippet injection
563,13,TOD,code snippet injection
539,13,TOD,code snippet injection
513,18,TOD,code snippet injection
485,13,TOD,code snippet injection
467,13,TOD,code snippet injection
427,18,TOD,code snippet injection
386,18,TOD,code snippet injection
251,13,TOD,code snippet injection
