loc,length,bug type,approach
98,2,Unchecked-Send,code snippet injection
72,2,Unchecked-Send,code snippet injection
69,2,Unchecked-Send,code snippet injection
311,2,Unchecked-Send,code snippet injection
301,2,Unchecked-Send,code snippet injection
280,2,Unchecked-Send,code snippet injection
265,2,Unchecked-Send,code snippet injection
254,2,Unchecked-Send,code snippet injection
234,2,Unchecked-Send,code snippet injection
217,2,Unchecked-Send,code snippet injection
202,2,Unchecked-Send,code snippet injection
192,2,Unchecked-Send,code snippet injection
182,2,Unchecked-Send,code snippet injection
124,2,Unchecked-Send,code snippet injection
116,2,Unchecked-Send,code snippet injection
105,2,Unchecked-Send,code snippet injection
85,2,Unchecked-Send,code snippet injection
66,2,Unchecked-Send,code snippet injection
63,2,Unchecked-Send,code snippet injection
60,2,Unchecked-Send,code snippet injection
57,2,Unchecked-Send,code snippet injection
54,2,Unchecked-Send,code snippet injection
51,2,Unchecked-Send,code snippet injection
164,2,Unchecked-Send,code snippet injection
161,2,Unchecked-Send,code snippet injection
157,2,Unchecked-Send,code snippet injection
154,2,Unchecked-Send,code snippet injection
151,2,Unchecked-Send,code snippet injection
146,2,Unchecked-Send,code snippet injection
143,2,Unchecked-Send,code snippet injection
140,2,Unchecked-Send,code snippet injection
137,2,Unchecked-Send,code snippet injection
