loc,length,bug type,approach
357,2,Unchecked-Send,code snippet injection
354,2,Unchecked-Send,code snippet injection
351,2,Unchecked-Send,code snippet injection
191,2,Unchecked-Send,code snippet injection
188,2,Unchecked-Send,code snippet injection
123,2,Unchecked-Send,code snippet injection
120,2,Unchecked-Send,code snippet injection
584,2,Unchecked-Send,code snippet injection
569,2,Unchecked-Send,code snippet injection
548,2,Unchecked-Send,code snippet injection
518,2,Unchecked-Send,code snippet injection
462,2,Unchecked-Send,code snippet injection
444,2,Unchecked-Send,code snippet injection
366,2,Unchecked-Send,code snippet injection
318,2,Unchecked-Send,code snippet injection
304,2,Unchecked-Send,code snippet injection
279,2,Unchecked-Send,code snippet injection
254,2,Unchecked-Send,code snippet injection
241,2,Unchecked-Send,code snippet injection
226,2,Unchecked-Send,code snippet injection
196,2,Unchecked-Send,code snippet injection
170,2,Unchecked-Send,code snippet injection
160,2,Unchecked-Send,code snippet injection
150,2,Unchecked-Send,code snippet injection
117,2,Unchecked-Send,code snippet injection
114,2,Unchecked-Send,code snippet injection
111,2,Unchecked-Send,code snippet injection
346,2,Unchecked-Send,code snippet injection
341,2,Unchecked-Send,code snippet injection
338,2,Unchecked-Send,code snippet injection
335,2,Unchecked-Send,code snippet injection
331,2,Unchecked-Send,code snippet injection
