loc,length,bug type,approach
667,9,Unhandled-Exceptions,code snippet injection
645,3,Unhandled-Exceptions,code snippet injection
624,3,Unhandled-Exceptions,code snippet injection
613,6,Unhandled-Exceptions,code snippet injection
602,3,Unhandled-Exceptions,code snippet injection
558,2,Unhandled-Exceptions,code snippet injection
550,3,Unhandled-Exceptions,code snippet injection
539,3,Unhandled-Exceptions,code snippet injection
529,5,Unhandled-Exceptions,code snippet injection
493,3,Unhandled-Exceptions,code snippet injection
453,3,Unhandled-Exceptions,code snippet injection
447,3,Unhandled-Exceptions,code snippet injection
441,2,Unhandled-Exceptions,code snippet injection
297,9,Unhandled-Exceptions,code snippet injection
278,8,Unhandled-Exceptions,code snippet injection
266,9,Unhandled-Exceptions,code snippet injection
260,3,Unhandled-Exceptions,code snippet injection
248,9,Unhandled-Exceptions,code snippet injection
219,5,Unhandled-Exceptions,code snippet injection
210,2,Unhandled-Exceptions,code snippet injection
197,6,Unhandled-Exceptions,code snippet injection
182,8,Unhandled-Exceptions,code snippet injection
169,5,Unhandled-Exceptions,code snippet injection
162,3,Unhandled-Exceptions,code snippet injection
155,3,Unhandled-Exceptions,code snippet injection
147,3,Unhandled-Exceptions,code snippet injection
140,3,Unhandled-Exceptions,code snippet injection
132,5,Unhandled-Exceptions,code snippet injection
123,5,Unhandled-Exceptions,code snippet injection
115,5,Unhandled-Exceptions,code snippet injection
71,5,Unhandled-Exceptions,code snippet injection
61,3,Unhandled-Exceptions,code snippet injection
53,5,Unhandled-Exceptions,code snippet injection
28,9,Unhandled-Exceptions,code snippet injection
20,3,Unhandled-Exceptions,code snippet injection
481,8,Unhandled-Exceptions,code snippet injection
478,2,Unhandled-Exceptions,code snippet injection
474,3,Unhandled-Exceptions,code snippet injection
467,3,Unhandled-Exceptions,code snippet injection
289,3,Unhandled-Exceptions,code snippet injection
238,3,Unhandled-Exceptions,code snippet injection
231,6,Unhandled-Exceptions,code snippet injection
227,3,Unhandled-Exceptions,code snippet injection
103,8,Unhandled-Exceptions,code snippet injection
92,9,Unhandled-Exceptions,code snippet injection
81,9,Unhandled-Exceptions,code snippet injection
40,9,Unhandled-Exceptions,code snippet injection
