loc,length,bug type,approach
546,9,Unhandled-Exceptions,code snippet injection
522,3,Unhandled-Exceptions,code snippet injection
510,3,Unhandled-Exceptions,code snippet injection
499,6,Unhandled-Exceptions,code snippet injection
491,3,Unhandled-Exceptions,code snippet injection
479,2,Unhandled-Exceptions,code snippet injection
464,3,Unhandled-Exceptions,code snippet injection
454,3,Unhandled-Exceptions,code snippet injection
432,5,Unhandled-Exceptions,code snippet injection
422,3,Unhandled-Exceptions,code snippet injection
412,3,Unhandled-Exceptions,code snippet injection
405,3,Unhandled-Exceptions,code snippet injection
395,2,Unhandled-Exceptions,code snippet injection
379,9,Unhandled-Exceptions,code snippet injection
255,8,Unhandled-Exceptions,code snippet injection
240,9,Unhandled-Exceptions,code snippet injection
234,3,Unhandled-Exceptions,code snippet injection
222,9,Unhandled-Exceptions,code snippet injection
185,5,Unhandled-Exceptions,code snippet injection
178,2,Unhandled-Exceptions,code snippet injection
352,6,Unhandled-Exceptions,code snippet injection
343,8,Unhandled-Exceptions,code snippet injection
337,5,Unhandled-Exceptions,code snippet injection
333,3,Unhandled-Exceptions,code snippet injection
328,3,Unhandled-Exceptions,code snippet injection
324,3,Unhandled-Exceptions,code snippet injection
209,3,Unhandled-Exceptions,code snippet injection
203,5,Unhandled-Exceptions,code snippet injection
197,5,Unhandled-Exceptions,code snippet injection
