loc,length,bug type,approach
543,9,Unhandled-Exceptions,code snippet injection
519,3,Unhandled-Exceptions,code snippet injection
507,3,Unhandled-Exceptions,code snippet injection
496,6,Unhandled-Exceptions,code snippet injection
488,3,Unhandled-Exceptions,code snippet injection
476,2,Unhandled-Exceptions,code snippet injection
461,3,Unhandled-Exceptions,code snippet injection
451,3,Unhandled-Exceptions,code snippet injection
429,5,Unhandled-Exceptions,code snippet injection
419,3,Unhandled-Exceptions,code snippet injection
409,3,Unhandled-Exceptions,code snippet injection
402,3,Unhandled-Exceptions,code snippet injection
392,2,Unhandled-Exceptions,code snippet injection
376,9,Unhandled-Exceptions,code snippet injection
88,8,Unhandled-Exceptions,code snippet injection
73,9,Unhandled-Exceptions,code snippet injection
67,3,Unhandled-Exceptions,code snippet injection
55,9,Unhandled-Exceptions,code snippet injection
18,5,Unhandled-Exceptions,code snippet injection
11,2,Unhandled-Exceptions,code snippet injection
349,6,Unhandled-Exceptions,code snippet injection
340,8,Unhandled-Exceptions,code snippet injection
334,5,Unhandled-Exceptions,code snippet injection
330,3,Unhandled-Exceptions,code snippet injection
325,3,Unhandled-Exceptions,code snippet injection
321,3,Unhandled-Exceptions,code snippet injection
42,3,Unhandled-Exceptions,code snippet injection
36,5,Unhandled-Exceptions,code snippet injection
30,5,Unhandled-Exceptions,code snippet injection
