loc,length,bug type,approach
217,9,Unhandled-Exceptions,code snippet injection
213,3,Unhandled-Exceptions,code snippet injection
209,3,Unhandled-Exceptions,code snippet injection
202,6,Unhandled-Exceptions,code snippet injection
198,3,Unhandled-Exceptions,code snippet injection
195,2,Unhandled-Exceptions,code snippet injection
399,3,Unhandled-Exceptions,code snippet injection
391,3,Unhandled-Exceptions,code snippet injection
359,5,Unhandled-Exceptions,code snippet injection
347,3,Unhandled-Exceptions,code snippet injection
333,3,Unhandled-Exceptions,code snippet injection
323,3,Unhandled-Exceptions,code snippet injection
313,2,Unhandled-Exceptions,code snippet injection
295,9,Unhandled-Exceptions,code snippet injection
285,8,Unhandled-Exceptions,code snippet injection
269,9,Unhandled-Exceptions,code snippet injection
264,3,Unhandled-Exceptions,code snippet injection
254,9,Unhandled-Exceptions,code snippet injection
248,5,Unhandled-Exceptions,code snippet injection
244,2,Unhandled-Exceptions,code snippet injection
237,6,Unhandled-Exceptions,code snippet injection
228,8,Unhandled-Exceptions,code snippet injection
