loc,length,bug type,approach
182,3,tx.origin,code snippet injection
111,4,tx.origin,code snippet injection
50,4,tx.origin,code snippet injection
356,4,tx.origin,code snippet injection
348,4,tx.origin,code snippet injection
333,4,tx.origin,code snippet injection
296,4,tx.origin,code snippet injection
280,4,tx.origin,code snippet injection
263,4,tx.origin,code snippet injection
249,4,tx.origin,code snippet injection
229,4,tx.origin,code snippet injection
182,4,tx.origin,code snippet injection
178,3,tx.origin,code snippet injection
173,4,tx.origin,code snippet injection
162,3,tx.origin,code snippet injection
149,4,tx.origin,code snippet injection
111,3,tx.origin,code snippet injection
106,4,tx.origin,code snippet injection
88,4,tx.origin,code snippet injection
64,4,tx.origin,code snippet injection
318,5,tx.origin,code snippet injection
314,3,tx.origin,code snippet injection
309,4,tx.origin,code snippet injection
202,4,tx.origin,code snippet injection
129,4,tx.origin,code snippet injection
100,4,tx.origin,code snippet injection
44,3,tx.origin,code snippet injection
