loc,length,bug type,approach
1145,3,tx.origin,code snippet injection
1140,4,tx.origin,code snippet injection
1135,4,tx.origin,code snippet injection
1130,4,tx.origin,code snippet injection
1125,4,tx.origin,code snippet injection
220,4,tx.origin,code snippet injection
211,4,tx.origin,code snippet injection
162,4,tx.origin,code snippet injection
157,4,tx.origin,code snippet injection
118,4,tx.origin,code snippet injection
113,4,tx.origin,code snippet injection
74,4,tx.origin,code snippet injection
70,3,tx.origin,code snippet injection
1248,4,tx.origin,code snippet injection
1239,3,tx.origin,code snippet injection
1229,4,tx.origin,code snippet injection
1220,3,tx.origin,code snippet injection
1208,4,tx.origin,code snippet injection
1200,4,tx.origin,code snippet injection
1165,4,tx.origin,code snippet injection
1100,5,tx.origin,code snippet injection
1093,3,tx.origin,code snippet injection
1085,4,tx.origin,code snippet injection
1077,4,tx.origin,code snippet injection
1066,4,tx.origin,code snippet injection
1018,4,tx.origin,code snippet injection
993,3,tx.origin,code snippet injection
970,4,tx.origin,code snippet injection
952,3,tx.origin,code snippet injection
940,5,tx.origin,code snippet injection
920,4,tx.origin,code snippet injection
898,4,tx.origin,code snippet injection
878,4,tx.origin,code snippet injection
858,4,tx.origin,code snippet injection
844,3,tx.origin,code snippet injection
819,4,tx.origin,code snippet injection
794,4,tx.origin,code snippet injection
772,3,tx.origin,code snippet injection
744,3,tx.origin,code snippet injection
721,4,tx.origin,code snippet injection
