loc,length,bug type,approach
342,3,tx.origin,code snippet injection
335,4,tx.origin,code snippet injection
328,4,tx.origin,code snippet injection
321,4,tx.origin,code snippet injection
314,4,tx.origin,code snippet injection
307,4,tx.origin,code snippet injection
300,4,tx.origin,code snippet injection
867,4,tx.origin,code snippet injection
857,4,tx.origin,code snippet injection
844,4,tx.origin,code snippet injection
818,4,tx.origin,code snippet injection
803,4,tx.origin,code snippet injection
767,3,tx.origin,code snippet injection
748,4,tx.origin,code snippet injection
735,3,tx.origin,code snippet injection
714,4,tx.origin,code snippet injection
692,3,tx.origin,code snippet injection
684,4,tx.origin,code snippet injection
658,4,tx.origin,code snippet injection
641,4,tx.origin,code snippet injection
622,5,tx.origin,code snippet injection
601,3,tx.origin,code snippet injection
589,4,tx.origin,code snippet injection
571,4,tx.origin,code snippet injection
562,4,tx.origin,code snippet injection
554,4,tx.origin,code snippet injection
543,3,tx.origin,code snippet injection
530,4,tx.origin,code snippet injection
518,3,tx.origin,code snippet injection
508,5,tx.origin,code snippet injection
499,4,tx.origin,code snippet injection
457,4,tx.origin,code snippet injection
444,4,tx.origin,code snippet injection
427,4,tx.origin,code snippet injection
397,3,tx.origin,code snippet injection
376,4,tx.origin,code snippet injection
489,4,tx.origin,code snippet injection
482,3,tx.origin,code snippet injection
478,3,tx.origin,code snippet injection
472,4,tx.origin,code snippet injection
