loc,length,bug type,approach
138,3,tx.origin,code snippet injection
101,4,tx.origin,code snippet injection
96,4,tx.origin,code snippet injection
354,4,tx.origin,code snippet injection
334,4,tx.origin,code snippet injection
317,4,tx.origin,code snippet injection
304,4,tx.origin,code snippet injection
282,4,tx.origin,code snippet injection
263,4,tx.origin,code snippet injection
246,4,tx.origin,code snippet injection
234,4,tx.origin,code snippet injection
222,4,tx.origin,code snippet injection
168,3,tx.origin,code snippet injection
158,4,tx.origin,code snippet injection
146,3,tx.origin,code snippet injection
116,4,tx.origin,code snippet injection
92,3,tx.origin,code snippet injection
87,4,tx.origin,code snippet injection
82,4,tx.origin,code snippet injection
77,4,tx.origin,code snippet injection
71,5,tx.origin,code snippet injection
67,3,tx.origin,code snippet injection
54,4,tx.origin,code snippet injection
46,4,tx.origin,code snippet injection
38,4,tx.origin,code snippet injection
30,4,tx.origin,code snippet injection
204,3,tx.origin,code snippet injection
199,4,tx.origin,code snippet injection
194,3,tx.origin,code snippet injection
188,5,tx.origin,code snippet injection
183,4,tx.origin,code snippet injection
178,4,tx.origin,code snippet injection
131,4,tx.origin,code snippet injection
126,4,tx.origin,code snippet injection
