loc,length,bug type,approach
1183,3,tx.origin,code snippet injection
1178,4,tx.origin,code snippet injection
1437,4,tx.origin,code snippet injection
1431,4,tx.origin,code snippet injection
1409,4,tx.origin,code snippet injection
1310,4,tx.origin,code snippet injection
1302,4,tx.origin,code snippet injection
1294,4,tx.origin,code snippet injection
1286,4,tx.origin,code snippet injection
1275,4,tx.origin,code snippet injection
1259,4,tx.origin,code snippet injection
1251,4,tx.origin,code snippet injection
1244,3,tx.origin,code snippet injection
1236,4,tx.origin,code snippet injection
1229,3,tx.origin,code snippet injection
1221,4,tx.origin,code snippet injection
1213,3,tx.origin,code snippet injection
1205,4,tx.origin,code snippet injection
1198,4,tx.origin,code snippet injection
1191,4,tx.origin,code snippet injection
1147,5,tx.origin,code snippet injection
1139,3,tx.origin,code snippet injection
1125,4,tx.origin,code snippet injection
1111,4,tx.origin,code snippet injection
1102,4,tx.origin,code snippet injection
1090,4,tx.origin,code snippet injection
1079,3,tx.origin,code snippet injection
1067,4,tx.origin,code snippet injection
1055,3,tx.origin,code snippet injection
1045,5,tx.origin,code snippet injection
1036,4,tx.origin,code snippet injection
1026,4,tx.origin,code snippet injection
1017,4,tx.origin,code snippet injection
1009,4,tx.origin,code snippet injection
1001,3,tx.origin,code snippet injection
993,4,tx.origin,code snippet injection
985,4,tx.origin,code snippet injection
25,3,tx.origin,code snippet injection
17,3,tx.origin,code snippet injection
9,4,tx.origin,code snippet injection
